Client,VolumeCred,VolumeCred_CA,TransactionsCred,TransactionsCred_CA,VolumeDeb,VolumeDeb_CA,VolumeDebCash_Card,VolumeDebCashless_Card,VolumeDeb_PaymentOrder,TransactionsDeb,TransactionsDeb_CA,TransactionsDebCash_Card,TransactionsDebCashless_Card,TransactionsDeb_PaymentOrder
1017,0.005,0.005,1,1,118.04642857142858,118.04642857142858,25.0,91.79642857142858,0.0,12,12,2,9,0
1456,364.7721428571429,364.7528571428571,4,3,774.9799999999999,774.9799999999999,14.285714285714286,497.44428571428574,258.60714285714283,28,28,1,20,5
545,2471.719285714286,2471.719285714286,14,14,2190.2571428571428,2190.2571428571428,303.57142857142856,179.08214285714286,1229.4285714285713,23,23,3,5,12
667,1127.7928571428572,1127.7928571428572,4,4,1344.6035714285715,1344.6035714285715,642.8571428571429,194.28571428571428,249.32142857142858,21,21,3,4,8
1381,571.6182142857143,571.6182142857143,3,3,57.07142857142857,57.07142857142857,10.714285714285714,46.357142857142854,0.0,6,6,1,5,0
1360,1.475357142857143,0.03571428571428571,4,1,113.75,112.32142857142857,0.0,0.0,108.0,7,5,0,0,3
267,648.7796428571429,648.7796428571429,2,2,199.81071428571428,199.81071428571428,35.714285714285715,130.84642857142856,31.5,12,12,1,7,2
284,1650.6417857142858,1650.6417857142858,2,2,1661.7675,1661.7675,175.0,547.9825,597.5714285714286,20,20,1,9,7
1420,1075.0232142857144,1075.0232142857144,2,2,620.3746428571429,620.3746428571429,0.0,0.0,616.9817857142858,7,7,0,0,6
1024,178.57964285714283,178.57964285714283,2,2,109.10714285714286,109.10714285714286,107.14285714285714,0.0,0.0,3,3,2,0,0
486,0.06535714285714286,0.06535714285714286,1,1,5.535714285714286,5.535714285714286,0.0,0.0,0.0,1,1,0,0,0
119,218.9935714285714,218.10892857142858,3,2,89.98214285714286,89.98214285714286,0.0,53.94642857142857,33.642857142857146,6,6,0,3,2
1301,799.4435714285713,799.4435714285713,7,7,587.3571428571429,587.3571428571429,0.0,0.0,578.3928571428571,13,13,0,0,11
1243,1213.0039285714286,1213.0039285714286,2,2,1262.75,1262.75,357.14285714285717,0.0,862.7142857142857,17,17,3,0,9
505,1.3135714285714286,0.004285714285714286,2,1,1.9642857142857142,1.9642857142857142,0.0,0.0,0.0,1,1,0,0,0
1320,1234.922142857143,1234.922142857143,4,4,410.4414285714286,410.4414285714286,35.714285714285715,8.245000000000001,212.85714285714286,11,11,1,1,6
1265,364.40999999999997,364.40999999999997,2,2,583.7460714285714,583.7460714285714,464.2857142857143,112.49607142857143,0.0,9,9,3,4,0
919,919.0260714285714,898.6085714285715,9,7,927.6385714285715,898.8892857142857,278.57142857142856,157.67214285714286,438.7282142857143,26,22,4,7,8
144,178.57357142857146,178.57357142857146,2,2,42.42857142857143,42.42857142857143,14.285714285714286,28.142857142857142,0.0,3,3,1,2,0
1195,1227.0417857142857,1227.0417857142857,2,2,1094.6739285714286,1094.6739285714286,357.14285714285717,330.8525,401.57142857142856,30,30,1,16,11
1440,682.6764285714286,601.965,12,10,763.1885714285714,682.6535714285714,114.28571428571429,211.44214285714287,271.42857142857144,41,34,5,20,3
1557,1837.5314285714285,1837.5314285714285,10,10,1791.25,1791.25,0.0,0.0,0.0,2,2,0,0,0
1352,132.14392857142857,132.14392857142857,2,2,76.66428571428571,76.66428571428571,3.5714285714285716,73.09285714285714,0.0,3,3,1,2,0
779,3300.0767857142855,2348.7428571428572,29,27,3602.077857142857,2185.4785714285713,589.2857142857143,195.73749999999998,19.857142857142858,56,31,7,10,1
889,25.0,25.0,1,1,26.175,26.175,7.142857142857143,19.032142857142855,0.0,3,3,1,2,0
1104,4778.456428571429,4118.971071428571,40,28,4534.124285714285,4052.7210714285716,1650.0,534.75,1150.2857142857142,102,69,7,34,18
1283,1636.3753571428572,1636.3753571428572,6,6,4158.575,4158.575,64.28571428571429,227.8607142857143,3734.8571428571427,18,18,1,4,10
426,2163.4014285714284,2163.4014285714284,3,3,473.4642857142857,473.4642857142857,178.57142857142858,0.0,291.64285714285717,15,15,5,0,6
1019,634.4328571428571,634.4328571428571,2,2,725.9421428571429,725.9421428571429,200.0,238.835,249.60714285714286,49,49,8,25,5
373,687.5739285714286,687.5739285714286,2,2,675.8214285714286,675.8214285714286,457.14285714285717,0.0,211.0,21,21,12,0,3
