Client,Sex,Age,Tenure,Count_CA,Count_SA,Count_MF,Count_OVD,Count_CC,Count_CL,ActBal_CA,ActBal_SA,ActBal_MF,ActBal_OVD,ActBal_CC,ActBal_CL,VolumeCred,VolumeCred_CA,TransactionsCred,TransactionsCred_CA,VolumeDeb,VolumeDeb_CA,VolumeDebCash_Card,VolumeDebCashless_Card,VolumeDeb_PaymentOrder,TransactionsDeb,TransactionsDeb_CA,TransactionsDebCash_Card,TransactionsDebCashless_Card,TransactionsDeb_PaymentOrder,Sale_MF,Sale_CC,Sale_CL,Revenue_MF,Revenue_CC,Revenue_CL,Total_Revenue,Segment
1217,M,38,165,1,0.0,0.0,0.0,0.0,0.0,6752.244642857143,0.0,0.0,0.0,0.0,0.0,0.0021428571428571,0.0021428571428571,1.0,1.0,714.2857142857143,714.2857142857143,0.0,0.0,714.2857142857143,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
850,F,49,44,1,0.0,0.0,0.0,0.0,0.0,43.52321428571429,0.0,0.0,0.0,0.0,0.0,1392.402857142857,1392.402857142857,3.0,3.0,1226.345357142857,1226.345357142857,0.0,0.0,121.92857142857144,6.0,6.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.8939285714285715,0.0,0.8939285714285715,1
1473,M,54,34,1,1.0,0.0,0.0,1.0,1.0,29.024285714285718,14447.801428571427,0.0,0.0,653.91,1132.590357142857,1787.1275,939.1289285714286,14.0,5.0,3875.137857142857,3794.5807142857134,357.1428571428572,444.5975,2076.785714285714,48.0,38.0,1.0,26.0,11.0,1.0,0.0,0.0,4.929642857142857,0.0,0.0,4.929642857142857,2
1038,M,29,106,1,0.0,0.0,0.0,0.0,0.0,27.035714285714285,0.0,0.0,0.0,0.0,0.0,0.0060714285714285,0.0060714285714285,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
225,M,14,187,1,0.0,0.0,1.0,0.0,0.0,345.6860714285714,0.0,0.0,618.3975,0.0,0.0,0.0075,0.0075,1.0,1.0,130.52142857142857,130.52142857142857,0.0,111.23571428571428,19.285714285714285,5.0,5.0,0.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,8.130714285714285,8.130714285714285,3
827,M,57,50,1,0.0,0.0,1.0,1.0,0.0,49.19357142857143,0.0,0.0,0.0,0.4642857142857143,0.0,1755.2817857142857,1750.4042857142856,9.0,6.0,1474.321428571429,1455.0357142857142,607.1428571428571,17.857142857142858,843.25,26.0,23.0,4.0,1.0,17.0,0.0,1.0,1.0,0.0,7.928571428571429,12.242142857142856,20.170714285714283,1
1231,F,6,232,1,0.0,0.0,0.0,0.0,0.0,819.8539285714286,0.0,0.0,0.0,0.0,0.0,0.0157142857142857,0.0157142857142857,2.0,2.0,2257.0,2257.0,2250.0,0.0,0.0,9.0,9.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,24.43464285714285,24.43464285714285,3
739,M,69,55,1,1.0,8.0,1.0,0.0,1.0,5519.308928571429,0.0,9824.236785714284,0.0,0.0,3868.679642857143,208.4467857142857,150.00357142857143,4.0,2.0,287.00357142857143,282.575,0.0,211.18214285714288,0.0,7.0,5.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,2.138571428571429,7.785714285714286,9.924285714285714,1
956,M,52,139,2,0.0,0.0,1.0,0.0,0.0,3611.397857142857,0.0,0.0,0.0,0.0,0.0,1699.1328571428571,1278.5364285714284,13.0,10.0,1647.4603571428572,1238.9960714285714,71.42857142857143,118.72107142857143,624.2142857142857,27.0,20.0,1.0,4.0,11.0,0.0,0.0,1.0,0.0,0.0,19.958214285714288,19.958214285714288,1
1219,M,33,19,1,0.0,0.0,0.0,0.0,0.0,5164.206428571429,0.0,0.0,0.0,0.0,0.0,347.32214285714286,347.32214285714286,2.0,2.0,368.49285714285713,368.49285714285713,71.42857142857143,19.67142857142857,246.32142857142856,13.0,13.0,2.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
137,F,63,168,3,0.0,1.0,0.0,0.0,0.0,185.72214285714287,0.0,0.0,0.0,0.0,0.0,447.11285714285714,447.11285714285714,2.0,2.0,503.9807142857143,503.9807142857143,178.57142857142858,255.9092857142857,67.42857142857143,11.0,11.0,1.0,6.0,3.0,0.0,1.0,0.0,0.0,9.392857142857142,0.0,9.392857142857142,1
316,F,1,211,1,0.0,0.0,0.0,0.0,0.0,22.733571428571427,0.0,0.0,0.0,0.0,0.0,1022.8460714285712,1022.8460714285712,6.0,6.0,1026.8178571428573,1026.8178571428573,535.7142857142857,7.710714285714286,481.4642857142857,21.0,21.0,6.0,1.0,9.0,0.0,0.0,1.0,0.0,0.0,15.015357142857145,15.015357142857145,3
