Client,Sex,Age,Tenure,Count_CA,Count_SA,Count_MF,Count_OVD,Count_CC,Count_CL,ActBal_CA,ActBal_SA,ActBal_MF,ActBal_OVD,ActBal_CC,ActBal_CL,VolumeCred,VolumeCred_CA,TransactionsCred,TransactionsCred_CA,VolumeDeb,VolumeDeb_CA,VolumeDebCash_Card,VolumeDebCashless_Card,VolumeDeb_PaymentOrder,TransactionsDeb,TransactionsDeb_CA,TransactionsDebCash_Card,TransactionsDebCashless_Card,TransactionsDeb_PaymentOrder,Sale_MF,Sale_CC,Sale_CL,Revenue_MF,Revenue_CC,Revenue_CL,Total_Revenue,Segment,Prob_CL,Prob_CC,Prob_MF,Expected_CL,Expected_CC,Expected_MF,Chosen_CL,Chosen_CC,Chosen_MF,Best_Offer,Best_Expected_Revenue
1217,M,38,165,1,0.0,0.0,0.0,0.0,0.0,6752.244642857143,0.0,0.0,0.0,0.0,0.0,0.0021428571428571,0.0021428571428571,1.0,1.0,714.2857142857143,714.2857142857143,0.0,0.0,714.2857142857143,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.30218427825412514,0.29317475863475617,0.14463502400677097,0.0,0.0,0.0,0.0,0.0,0.0,Expected_CL,0.0
850,F,49,44,1,0.0,0.0,0.0,0.0,0.0,43.52321428571429,0.0,0.0,0.0,0.0,0.0,1392.402857142857,1392.402857142857,3.0,3.0,1226.345357142857,1226.345357142857,0.0,0.0,121.92857142857144,6.0,6.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.8939285714285715,0.0,0.8939285714285715,1,0.17462421204292303,0.18984855493376238,0.14921321602965826,0.0,0.16971104749971688,0.0,0.0,0.0,0.0,Expected_CC,0.16971104749971688
1473,M,54,34,1,1.0,0.0,0.0,1.0,1.0,29.024285714285718,14447.801428571427,0.0,0.0,653.91,1132.590357142857,1787.1275,939.1289285714286,14.0,5.0,3875.137857142857,3794.5807142857134,357.1428571428572,444.5975,2076.785714285714,48.0,38.0,1.0,26.0,11.0,1.0,0.0,0.0,4.929642857142857,0.0,0.0,4.929642857142857,2,0.07066933632874721,0.07076191291036824,0.3311896020578088,0.0,0.0,1.6326464561442624,0.0,0.0,0.0,Expected_MF,1.6326464561442624
1038,M,29,106,1,0.0,0.0,0.0,0.0,0.0,27.035714285714285,0.0,0.0,0.0,0.0,0.0,0.0060714285714285,0.0060714285714285,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.28355679518281796,0.17309631650311175,0.20690359057128455,0.0,0.0,0.0,0.0,0.0,0.0,Expected_CL,0.0
225,M,14,187,1,0.0,0.0,1.0,0.0,0.0,345.6860714285714,0.0,0.0,618.3975,0.0,0.0,0.0075,0.0075,1.0,1.0,130.52142857142857,130.52142857142857,0.0,111.23571428571428,19.285714285714285,5.0,5.0,0.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,8.130714285714285,8.130714285714285,3,0.5789629224331044,0.1562338133746986,0.18418717080739988,4.707382104325734,0.0,0.0,0.0,0.0,0.0,Expected_CL,4.707382104325734
827,M,57,50,1,0.0,0.0,1.0,1.0,0.0,49.19357142857143,0.0,0.0,0.0,0.4642857142857143,0.0,1755.2817857142857,1750.4042857142856,9.0,6.0,1474.321428571429,1455.0357142857142,607.1428571428571,17.857142857142858,843.25,26.0,23.0,4.0,1.0,17.0,0.0,1.0,1.0,0.0,7.928571428571429,12.242142857142856,20.170714285714283,1,0.16658591462145994,0.31861486956479673,0.10376051530149136,2.0393685647837154,2.52616075154946,0.0,0.0,0.0,0.0,Expected_CC,2.52616075154946
1231,F,6,232,1,0.0,0.0,0.0,0.0,0.0,819.8539285714286,0.0,0.0,0.0,0.0,0.0,0.0157142857142857,0.0157142857142857,2.0,2.0,2257.0,2257.0,2250.0,0.0,0.0,9.0,9.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,24.43464285714285,24.43464285714285,3,0.8095409933484651,0.18320539659365745,0.0480690667161538,19.780845050686402,0.0,0.0,1.0,0.0,0.0,Expected_CL,19.780845050686402
739,M,69,55,1,1.0,8.0,1.0,0.0,1.0,5519.308928571429,0.0,9824.236785714284,0.0,0.0,3868.679642857143,208.4467857142857,150.00357142857143,4.0,2.0,287.00357142857143,282.575,0.0,211.18214285714288,0.0,7.0,5.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,2.138571428571429,7.785714285714286,9.924285714285714,1,0.1537688384234546,0.20802867882364487,0.1528744106500866,1.1972002420111822,0.44488418885570913,0.0,0.0,0.0,0.0,Expected_CL,1.1972002420111822
956,M,52,139,2,0.0,0.0,1.0,0.0,0.0,3611.397857142857,0.0,0.0,0.0,0.0,0.0,1699.1328571428571,1278.5364285714284,13.0,10.0,1647.4603571428572,1238.9960714285714,71.42857142857143,118.72107142857143,624.2142857142857,27.0,20.0,1.0,4.0,11.0,0.0,0.0,1.0,0.0,0.0,19.958214285714288,19.958214285714288,1,0.38575423924621405,0.2692909202743491,0.21155162821456053,7.698965768498637,0.0,0.0,1.0,0.0,0.0,Expected_CL,7.698965768498637
1219,M,33,19,1,0.0,0.0,0.0,0.0,0.0,5164.206428571429,0.0,0.0,0.0,0.0,0.0,347.32214285714286,347.32214285714286,2.0,2.0,368.49285714285713,368.49285714285713,71.42857142857143,19.67142857142857,246.32142857142856,13.0,13.0,2.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.16239943920443417,0.22772351541300168,0.19719576037834022,0.0,0.0,0.0,0.0,0.0,0.0,Expected_CL,0.0
137,F,63,168,3,0.0,1.0,0.0,0.0,0.0,185.72214285714287,0.0,0.0,0.0,0.0,0.0,447.11285714285714,447.11285714285714,2.0,2.0,503.9807142857143,503.9807142857143,178.57142857142858,255.9092857142857,67.42857142857143,11.0,11.0,1.0,6.0,3.0,0.0,1.0,0.0,0.0,9.392857142857142,0.0,9.392857142857142,1,0.4994454751835177,0.12643336482258458,0.15429955691614944,0.0,1.1875705338692766,0.0,0.0,0.0,0.0,Expected_CC,1.1875705338692766
316,F,1,211,1,0.0,0.0,0.0,0.0,0.0,22.733571428571427,0.0,0.0,0.0,0.0,0.0,1022.8460714285712,1022.8460714285712,6.0,6.0,1026.8178571428573,1026.8178571428573,535.7142857142857,7.710714285714286,481.4642857142857,21.0,21.0,6.0,1.0,9.0,0.0,0.0,1.0,0.0,0.0,15.015357142857145,15.015357142857145,3,0.7585373237874684,0.22273335705899006,0.16687537274948958,11.389708822855907,0.0,0.0,1.0,0.0,0.0,Expected_CL,11.389708822855907
461,F,17,64,1,1.0,0.0,0.0,0.0,0.0,6.537857142857143,6128.227857142857,0.0,0.0,0.0,0.0,1463.9160714285715,1463.8007142857143,5.0,4.0,1590.5982142857142,1590.5982142857142,0.0,340.7517857142857,719.9642857142857,18.0,18.0,0.0,3.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.39511831498511485,0.1944121084443897,0.13154572411234106,0.0,0.0,0.0,0.0,0.0,0.0,Expected_CL,0.0
1048,F,65,71,1,0.0,0.0,1.0,0.0,0.0,1911.4914285714287,0.0,0.0,0.0,0.0,0.0,729.2757142857143,729.2757142857143,2.0,2.0,541.25,541.25,535.7142857142857,0.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.12208707178987566,0.30873356348096787,0.09146334750254426,0.0,0.0,0.0,0.0,0.0,0.0,Expected_CL,0.0
123,F,22,40,2,0.0,0.0,0.0,0.0,0.0,8883.968214285715,0.0,0.0,0.0,0.0,0.0,30.38178571428572,30.38178571428572,2.0,2.0,35.892857142857146,35.892857142857146,0.0,33.92857142857143,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,10.46107142857143,10.46107142857143,3,0.32093111195604684,0.196581413148391,0.14660838685300873,3.35728328582306,0.0,0.0,0.0,0.0,0.0,Expected_CL,3.35728328582306
1574,F,30,149,1,0.0,0.0,0.0,0.0,0.0,478.5435714285714,0.0,0.0,0.0,0.0,0.0,0.0071428571428571,0.0071428571428571,1.0,1.0,0.8939285714285715,0.8939285714285715,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.943571428571429,3.943571428571429,3,0.3679218182035935,0.1851186200523308,0.1603489544659527,1.4509259702157427,0.0,0.0,0.0,0.0,0.0,Expected_CL,1.4509259702157427
1160,M,19,260,1,0.0,0.0,1.0,0.0,1.0,2723.980357142857,0.0,0.0,0.0,0.0,4239.8775000000005,884.592857142857,865.2971428571428,3.0,2.0,929.5178571428572,925.625,285.7142857142857,190.8142857142857,178.64285714285714,28.0,26.0,3.0,9.0,7.0,0.0,1.0,1.0,0.0,0.8571428571428571,17.993214285714284,18.850357142857142,3,0.6271523107989032,0.15575742773291615,0.08872490520567974,11.28448591798555,0.13350636662821383,0.0,1.0,0.0,0.0,Expected_CL,11.28448591798555
1083,F,39,12,2,0.0,1.0,0.0,0.0,0.0,42.61892857142857,0.0,759.1507142857143,0.0,0.0,0.0,1076.222142857143,1076.222142857143,2.0,2.0,1078.7632142857142,1078.7632142857142,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,27.55178571428572,27.55178571428572,3,0.28223542017748493,0.13461685176914231,0.16276775660588902,7.7760898177114575,0.0,0.0,1.0,0.0,0.0,Expected_CL,7.7760898177114575
36,F,49,263,1,1.0,2.0,0.0,0.0,0.0,60.99785714285714,1912.6325,3697.8375,0.0,0.0,0.0,7155.630357142857,7142.885,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.2380357142857143,0.0,0.0,0.2380357142857143,3,0.24290210874447155,0.13892755004532956,0.4540943886391097,0.0,0.0,0.10809068215284523,0.0,0.0,0.0,Expected_MF,0.10809068215284523
191,M,59,150,1,0.0,0.0,0.0,0.0,0.0,1047.5860714285714,0.0,0.0,0.0,0.0,0.0,998.6810714285714,998.6810714285714,4.0,4.0,995.4103571428572,995.4103571428572,114.28571428571428,83.94678571428572,790.035,19.0,19.0,6.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.28209643464546413,0.3347061665216534,0.20588684360790135,0.0,0.0,0.0,0.0,0.0,0.0,Expected_CL,0.0
689,F,39,133,1,0.0,0.0,0.0,0.0,0.0,396.3082142857143,0.0,0.0,0.0,0.0,0.0,1071.4289285714283,1071.4289285714283,3.0,3.0,908.275,908.275,0.0,10.785714285714286,0.0,5.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.3107007202818755,0.17580987567439113,0.1906947819763997,0.0,0.0,0.0,0.0,0.0,0.0,Expected_CL,0.0
390,M,50,67,1,1.0,79.0,0.0,0.0,0.0,442.34607142857146,0.3957142857142857,5468.865357142858,0.0,0.0,0.0,1839.9928571428568,1836.7453571428573,6.0,4.0,701.9875000000001,701.9875000000001,89.28571428571429,213.9517857142857,397.1428571428572,38.0,38.0,2.0,29.0,6.0,1.0,0.0,0.0,1.3798214285714283,0.0,0.0,1.3798214285714283,2,0.5013129565961998,0.00434279951962234,0.9999433895139767,0.0,0.0,1.3797433162097315,0.0,0.0,0.0,Expected_MF,1.3797433162097315
729,M,17,85,1,1.0,1.0,1.0,0.0,0.0,2082.3089285714286,0.0,0.0,0.0,0.0,0.0,1069.8657142857144,1069.8110714285715,6.0,5.0,4748.714285714285,4748.714285714285,0.0,0.0,462.7857142857143,14.0,14.0,0.0,0.0,11.0,0.0,1.0,1.0,0.0,3.502142857142857,28.14892857142857,31.651071428571427,3,0.6109085971617587,0.3677795382593548,0.07061358887564925,17.196422465177978,1.2880164829182974,0.0,1.0,0.0,0.0,Expected_CL,17.196422465177978
